Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2021-01-09","Odisha","21","Kalahandi","358","Gunupur","19.60833","83.11667","East Flowing Rivers Between Mahanadi And Pennar","Nagvati And Other","CGWB","1.21","0.32"
"2019-09-29","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","2.95","-2.7"
"2019-04-05","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.5","0.04"
"2013-04-16","Odisha","21","Mayurbhanj","365","Dhanpur","21.77583","86.84722","Subernarekha","Subernarekha","CGWB","4.16","-0.89"
"2014-06-12","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","9.0","-0.25"
"2016-10-21","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","4.19","-1.33"
"2016-08-26","Kerala","32","Kannur","557","Pazhayangadi","12.01667","75.26667","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","1.5","0.4"
"2015-11-04","Chhattisgarh","22","Bilaspur","375","Daukapa","22.09","81.82528","Mahanadi","Mahanadi Upper","CGWB","2.7","1.33"
"2013-01-04","Telangana","36","Khammam","509","Garla","17.49167","80.14583","Krishna","Krishna Lower","CGWB","3.07","2.04"
"2016-08-24","Maharashtra","27","Latur","481","Chapoli","18.575","76.91389","Godavari","Manjra","CGWB","7.83","-7.17"
"2016-08-26","West Bengal","19","Purba Bardhaman","306","Bannabagram-1","23.52722","87.62389","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","3.89","-3.8"
"2013-01-04","Karnataka","29","Tumakuru","548","Chikkapalanahalli","13.43333","77.23333","Pennar","Pennar Upper","CGWB","4.0","-4.12"
"2013-11-04","Uttar Pradesh","9","Saharanpur","177","Bagh colony","30.34667","77.60444","Ganga","Yamuna Upper","CGWB","3.0","1.2"
"2018-11-04","Karnataka","29","Hassan","539","Shirdanahalli","12.75583","75.96917","Cauvery","Cauvery Upper","CGWB","5.2","1.85"
"2018-11-04","Karnataka","29","Uttara Kannada","550","Madanur","15.03333","74.85222","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","2.45","1.0"
"2015-11-04","Goa","30","North Goa","551","Mapuca","15.60944","73.82639","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","3.14","0.14"
"2017-04-16","Odisha","21","Balangir","345","Chormara","20.30472","83.29167","Mahanadi","Mahanadi Lower","CGWB","4.71","1.61"
"2017-01-04","Karnataka","29","Shivamogga","547","Bhadravati1","13.86667","75.73333","Krishna","Tungabhadra Upper","CGWB","2.25","1.25"
"2020-07-07","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","16.72","-13.09"
"2013-11-04","Tamil Nadu","33","Cuddalore","570","Sethiathope","11.46667","79.63333","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","9.31","-9.96"
"2013-11-04","Karnataka","29","Ballari","528","Ramasagarahatti","14.75583","76.60444","Krishna","Tungabhadra Lower","CGWB","4.47","-0.53"
"2014-05-14","Uttar Pradesh","9","Budaun","133","Gunnaur1","28.23333","78.43333","Ganga","Above Ramganga Confluence","CGWB","4.91","0.34"
"2018-05-04","Tamil Nadu","33","Theni","588","Veerapandi","9.9625","77.45","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.18","1.97"
"2017-11-04","Madhya Pradesh","23","Mandla","415","Rampuri New","22.40861","80.26417","Godavari","Weinganga","CGWB","2.92","0.34"
"2015-01-05","Tripura","16","West Tripura","272","Champaknagar","23.80833","91.49167","Barak And Others","Naoch Chara And Others","CGWB","1.98","0.87"
"2015-11-06","West Bengal","19","South 24 Parganas","304","Budge Budge","22.48333","88.2","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","0.78","-0.62"
"2019-08-10","Karnataka","29","Hassan","539","Arsikere","13.28333","76.28333","Krishna","Tungabhadra Lower","CGWB","1.4","-1.23"
"2014-08-24","Maharashtra","27","Yavatmal","500","Dahegaon","20.09889","78.26722","Godavari","Wardha","CGWB","5.5","0.5"
"2019-01-09","Odisha","21","Balangir","345","Dhomana Donga","20.42694","82.90917","Mahanadi","Mahanadi Lower","CGWB","4.95","2.25"
"2020-08-24","Telangana","36","Ranga Reddy","518","Chitiyal-Dwalt","17.12556","77.96722","Krishna","Krishna Lower","CGWB","3.04","-3.19"
"2016-08-24","Jammu And Kashmir","1","Kathua","7","Chapki Kalan","32.44722","75.31472","Indus (Up To Border)","Ravi","CGWB","7.38","-10.8"
"2020-08-24","Telangana","36","Ranga Reddy","518","Bashirabad 2010Pz","17.21694","77.43056","Krishna","Bhima Lower","CGWB","14.52","-2.23"
"2015-01-04","Uttar Pradesh","9","Pilibhit","173","Bilsanda1","28.24167","79.94167","Ganga","Ramganga","CGWB","4.55","2.3"
"2015-01-06","Odisha","21","Boudh","349","Polam 2","20.86083","84.23889","Mahanadi","Mahanadi Lower","CGWB","5.05","3.0"
"2020-08-09","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","8.86","-2.05"
"2017-11-06","West Bengal","19","Birbhum","307","Nischintapur pz","24.17806","87.76528","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","8.45","-2.87"
"2017-04-16","Kerala","32","Kollam","559","Nallila","8.92778","76.69167","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","5.37","-1.47"
"2017-11-04","Telangana","36","Nalgonda","514","Chikatguda-DW13","17.175","79.52028","Krishna","Krishna Lower","CGWB","2.05","0.54"
"2015-08-24","Bihar","10","Purbi Champaran","213","Khajuriachowk","26.37917","84.77917","Ganga","Gandak And Others","CGWB","0.93","-4.69"
"2013-01-01","Rajasthan","8","Churu","96","HARDESAR","28.64167","74.375","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","58.66","10.26"
"2017-08-26","Odisha","21","Sundargarh","373","Birmitrapur","22.41028","84.73111","Brahmani And Baitarni","Brahmani","CGWB","1.4","-2.76"
"2016-08-24","Gujarat","24","Bharuch","442","Jambusar","22.05278","72.80556","Mahi","Mahi Lower","CGWB","7.05","1.35"
"2014-05-14","Andhra Pradesh","28","East Godavari","505","Santhacheruvu 2012","16.95","82.23","East Flowing Rivers Between Mahanadi And Pennar","Nagvati And Other","CGWB","1.65","0.3"
"2017-05-06","Tamil Nadu","33","Ramanathapuram","583","Ramanathapuram2","9.36667","78.78333","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.55","-1.08"
"2018-05-31","Punjab","3","Sri Muktsar Sahib","39","Bhiti Wala-Pz","29.97611","74.49778","Indus (Up To Border)","Sutlaj Lower","CGWB","3.57","0.52"
"2014-11-06","Odisha","21","Boudh","349","Kusang","20.58833","84.65722","Mahanadi","Mahanadi Lower","CGWB","4.11","0.45"
"2018-05-29","Bihar","10","Banka","190","Amarpur ps","25.05417","86.90417","Ganga","Gandak And Others","CGWB","5.43","1.91"
"2016-01-04","Gujarat","24","Junagadh","448","Saradiya","21.58861","70.0375","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Bhadar And Other West Flowing Rivers","CGWB","13.1","9.98"
"2017-04-16","Kerala","32","Kottayam","560","Mukkada","9.46667","76.8","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","9.16","-0.7"
"2015-08-24","Andhra Pradesh","28","Ananthapuramu","502","Anantapur-PZ","14.675","77.60833","Pennar","Pennar Upper","CGWB","6.35","0.02"
"2013-11-04","Madhya Pradesh","23","Narmadapuram","409","Bhilatdeo","22.49083","77.52833","Narmada","Narmada Middle","CGWB","4.71","3.5"
"2015-05-14","Uttar Pradesh","9","Kaushambi","158","Sarai akil","25.375","81.51333","Ganga","Yamuna Lower","CGWB","14.28","0.54"
"2014-08-04","Madhya Pradesh","23","Neemuch","419","Manasa","24.47056","75.14389","Ganga","Chambal Upper","CGWB","8.6","1.61"
"2018-08-19","Karnataka","29","Mysuru","545","Ibjala","12.11278","76.44694","Cauvery","Cauvery Middle","CGWB","3.1","-1.3"
"2015-01-04","Rajasthan","8","Bhilwara","92","KOTARI","25.39722","74.89167","Ganga","Banas","CGWB","8.27","1.08"
"2016-01-04","Karnataka","29","Uttara Kannada","550","Gunavante","14.22111","74.46694","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","5.7","0.82"
"2019-04-30","Karnataka","29","Shivamogga","547","Arahatodalu","13.97917","75.74028","Krishna","Tungabhadra Upper","CGWB","1.45","0.65"
"2018-08-30","Odisha","21","Kalahandi","358","Bandigaon","19.60694","82.81389","Mahanadi","Mahanadi Lower","CGWB","0.2","-4.9"
"2014-08-24","Karnataka","29","Ramanagara","631","Hegganur","12.33333","77.45","Cauvery","Cauvery Middle","CGWB","4.78","1.29"
"2017-02-07","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","6.33","2.03"
"2017-11-06","Odisha","21","Sonepur","372","Phulmuthi","20.995","83.79222","Mahanadi","Mahanadi Lower","CGWB","2.17","0.65"
"2016-11-04","Maharashtra","27","Chandrapur","473","Morwa (P1)_Pz","19.995","79.22778","Godavari","Wardha","CGWB","5.25","-0.95"
"2021-01-09","Madhya Pradesh","23","Narsimhapur","418","Bauchhar","22.98694","79.33361","Narmada","Narmada Upper","CGWB","5.64","2.58"
"2015-08-16","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","9.0","-0.38"
"2019-08-30","Uttar Pradesh","9","Prayagraj","120","Mallhan","25.61111","82.09722","Ganga","Upstream Of Gomti Confluece To Muzaffarnagar","CGWB","6.72","-0.45"
